order_id,order_value_inr,region,session_duration_sec
O1000089,285,West,44
O1000090,308,East,85
O1000091,191,West,67
O1000092,322,South,174
O1000093,517,South,57
O1000094,411,North,38
O1000095,1000,South,44
O1000096,1490,South,12
O1000097,320,South,73
O1000098,266,South,32
O1000099,710,West,110
O1000100,477,South,18
O1000101,712,West,49
O1000102,492,North,18
O1000103,366,South,65
O1000104,367,South,104
O1000105,501,North,32
O1000106,363,North,24
O1000107,742,South,139
O1000108,210,South,38
O1000109,740,West,14
O1000110,158,North,13
O1000111,434,South,13
O1000112,342,North,22
O1000113,189,East,8
O1000114,144,North,71
O1000115,233,West,39
O1000116,413,West,70
O1000117,299,North,23
O1000118,240,North,32
O1000119,793,South,47
O1000120,218,West,35
O1000121,567,North,5
O1000122,259,South,15
O1000123,230,East,45
O1000124,298,East,154
O1000125,550,South,21
O1000126,203,West,40
O1000127,466,South,14
O1000128,250,East,32
O1000129,273,East,7
O1000130,493,West,23
O1000131,1196,South,9
O1000132,256,South,9
O1000133,578,South,7
O1000134,345,North,79
O1000135,318,East,35
O1000136,689,East,10
O1000137,265,West,172
O1000138,227,East,47
O1000139,508,South,47
O1000140,896,South,45
O1000141,587,East,29
O1000142,200,North,9
O1000143,297,South,31
O1000144,658,North,38
O1000145,889,South,94
O1000146,452,North,79
O1000147,302,North,74
O1000148,919,East,22
O1000149,389,East,132
O1000150,298,South,61
O1000151,274,North,2
O1000152,222,West,60
O1000153,1664,North,69
O1000154,821,South,119
O1000155,291,North,121
O1000156,959,North,25
O1000157,527,South,2
O1000158,511,North,32
O1000159,282,South,59
O1000160,312,East,33
O1000161,395,South,25
O1000162,151,South,35
O1000163,316,North,55
O1000164,404,East,86
O1000165,776,East,2
O1000166,296,East,59
O1000167,606,South,8
O1000168,144,West,114
O1000169,723,East,49
O1000170,257,North,30
O1000171,431,West,98
O1000172,494,South,79
O1000173,448,East,149
O1000174,382,South,77
O1000175,217,South,11
O1000176,259,East,123
O1000177,664,West,6
O1000178,299,West,97
O1000179,383,West,169
O1000180,191,South,180
O1000181,620,North,68
O1000182,209,South,142
O1000183,638,North,200
O1000184,237,East,89
O1000185,670,South,27
O1000186,405,South,22
O1000187,305,East,17
O1000188,898,West,38
O1000189,390,East,66
O1000190,337,North,3
O1000191,636,North,71
O1000192,192,West,24
O1000193,114,East,26
O1000194,720,North,15
O1000195,266,South,9
O1000196,622,South,69
O1000197,413,East,9
O1000198,225,West,59
O1000199,547,East,124
O1000200,329,East,111
O1000201,235,East,27
O1000202,238,North,80
O1000203,170,East,54
O1000204,493,South,13
O1000205,253,West,19
O1000206,396,East,40
O1000207,368,South,156
O1000208,252,West,59
O1000209,188,North,43
O1000210,1432,South,62
O1000211,394,North,10
O1000212,1004,East,8
O1000213,722,South,212
O1000214,344,South,109
O1000215,442,North,48
O1000216,435,South,38
O1000217,1014,South,25
O1000218,611,North,46
O1000219,269,North,189
O1000220,481,West,4
O1000221,603,East,53
O1000222,224,North,180
O1000223,516,West,88
O1000224,791,South,93
O1000225,263,East,62
O1000226,282,South,159
O1000227,721,East,162
O1000228,338,East,44
O1000229,247,North,82
O1000230,627,West,266
O1000231,538,East,36
O1000232,423,North,27
O1000233,708,North,7
O1000234,733,East,66
O1000235,387,East,9
O1000236,1083,North,48
O1000237,890,West,4
O1000238,150,East,316
O1000239,241,West,65
O1000240,131,South,3
O1000241,343,North,76
O1000242,220,West,56
O1000243,268,West,71
O1000244,696,North,100
O1000245,168,South,73
O1000246,430,North,11
O1000247,429,South,19
O1000248,387,West,12
O1000249,431,East,74
O1000250,132,West,31
O1000251,269,South,4
O1000252,873,East,40
O1000253,222,South,36
O1000254,928,South,50
O1000255,200,South,147
O1000256,188,North,99
O1000257,251,East,85
O1000258,709,West,14
O1000259,307,North,143
O1000260,479,South,27
O1000261,419,West,35
O1000262,393,South,2
O1000263,763,West,63
O1000264,593,East,172
O1000265,228,West,18
O1000266,352,North,15
O1000267,965,East,13
O1000268,473,North,22
O1000269,190,South,82
O1000270,197,North,111
O1000271,630,East,79
O1000272,573,East,22
O1000273,255,South,64
O1000274,586,West,56
O1000275,898,South,40
O1000276,836,East,44
O1000277,900,East,45
O1000278,533,North,12
O1000279,369,East,158
O1000280,330,West,66
O1000281,400,North,136
O1000282,260,North,22
O1000283,337,South,32
O1000284,763,North,25
O1000285,180,South,114
O1000286,187,West,53
O1000287,611,North,16
O1000288,339,North,43
O1000289,154,North,48
O1000290,391,South,116
O1000291,364,South,18
O1000292,325,West,19
O1000293,568,South,9
O1000294,207,East,9
O1000295,406,South,6
O1000296,363,South,2
O1000297,411,South,15
O1000298,170,South,18
O1000299,311,East,51
O1000300,407,South,18
O1000301,529,North,156
O1000302,1016,South,3
O1000303,604,West,33
O1000304,508,West,11
O1000305,762,West,3
O1000306,347,North,29
O1000307,877,North,67
O1000308,706,West,141
O1000309,323,East,2
O1000310,1056,South,98
O1000311,504,East,10
O1000312,1208,West,28
O1000313,469,North,63
O1000314,305,North,20
O1000315,275,South,144
O1000316,338,East,46
O1000317,303,East,59
O1000318,762,North,12
O1000319,398,East,35
O1000320,180,South,2
O1000321,449,North,42
O1000322,430,East,41
O1000323,319,South,30
O1000324,461,West,54
O1000325,395,East,83
O1000326,554,South,3
O1000327,538,West,19
O1000328,484,East,10
O1000329,211,North,18
O1000330,1164,South,10
O1000331,185,East,97
O1000332,378,West,4
O1000333,233,North,8
O1000334,492,East,55
O1000335,432,East,302
O1000336,371,North,152
O1000337,862,North,57
O1000338,702,South,31
O1000339,343,South,29
O1000340,603,North,121
O1000341,882,North,2
O1000342,700,West,21
O1000343,377,North,9
O1000344,182,South,14
O1000345,475,South,5
O1000346,564,North,18
O1000347,275,North,17
O1000348,408,South,18
O1000349,387,East,15
O1000350,807,West,15
O1000351,1019,West,102
O1000352,726,South,79
O1000353,387,North,69
O1000354,716,South,16
O1000355,558,East,55
O1000356,389,North,83
O1000357,1148,East,14
O1000358,279,North,32
O1000359,546,North,51
O1000360,614,West,17
O1000361,349,South,78
O1000362,534,North,52
O1000363,647,East,22
O1000364,456,North,27
O1000365,511,North,27
O1000366,425,West,38
O1000367,601,South,47
O1000368,360,East,39
O1000369,345,West,10
O1000370,408,South,66
O1000371,729,North,7
O1000372,168,South,11
O1000373,256,North,64
O1000374,1259,East,36
O1000375,463,South,51
O1000376,329,South,19
O1000377,600,East,4
O1000378,272,North,168
O1000379,141,North,44
O1000380,482,West,37
O1000381,280,West,163
O1000382,424,West,247
O1000383,476,North,3
O1000384,433,South,23
O1000385,172,North,61
O1000386,409,East,134
O1000387,504,East,53
O1000388,200,East,248
O1000389,189,South,69
O1000390,236,West,2
O1000391,586,North,41
O1000392,149,East,187
O1000393,611,West,12
O1000394,491,East,165
O1000395,355,East,19
O1000396,192,East,147
O1000397,271,West,56
O1000398,596,South,28
O1000399,756,West,145
O1000400,241,North,6
O1000401,714,North,80
O1000402,568,North,54
O1000403,402,North,29
O1000404,279,South,46
O1000405,302,South,86
O1000406,1004,East,7
O1000407,441,South,18
O1000408,784,North,29
O1000409,455,West,79
O1000410,322,North,139
O1000411,540,West,162
O1000412,1187,East,29
O1000413,292,South,37
O1000414,637,South,143
O1000415,444,West,3
O1000416,195,West,79
O1000417,193,North,54
O1000418,322,East,12
O1000419,480,North,97
O1000420,626,North,5
O1000421,184,South,8
O1000422,559,North,48
O1000423,380,West,22
O1000424,404,South,7
O1000425,541,South,72
O1000426,966,South,10
O1000427,470,North,236
O1000428,205,North,166
O1000429,367,East,31
O1000430,618,North,83
O1000431,628,South,99
O1000432,563,South,49
O1000433,313,South,100
O1000434,204,West,95
O1000435,542,South,263
O1000436,220,South,20
O1000437,570,East,126
O1000438,571,South,66
O1000439,319,East,11
O1000440,381,North,10
O1000441,446,East,93
O1000442,297,North,31
O1000443,202,East,126
O1000444,396,South,43
O1000445,417,North,22
O1000446,797,East,115
O1000447,273,East,147
O1000448,688,North,39
O1000449,227,West,40
O1000450,206,North,148
O1000451,347,South,25
O1000452,252,East,61
O1000453,205,North,3
O1000454,1067,West,420
O1000455,322,East,9
O1000456,1281,East,12
O1000457,245,North,10
O1000458,172,West,3
O1000459,769,South,90
O1000460,281,East,36
O1000461,432,North,38
O1000462,205,East,216
O1000463,396,East,15
O1000464,203,South,3
O1000465,389,West,56
O1000466,318,West,35
O1000467,453,North,13
O1000468,552,North,39
O1000469,455,East,12
O1000470,505,South,188
O1000471,382,North,135
O1000472,325,North,44
O1000473,510,North,36
O1000474,382,North,20
O1000475,389,South,77
O1000476,492,South,9
O1000477,241,North,80
O1000478,825,North,37
O1000479,356,East,50
O1000480,429,West,70
O1000481,395,North,79
O1000482,559,North,68
O1000483,478,West,22
O1000484,393,East,10
O1000485,832,East,21
O1000486,81,South,12
O1000487,751,South,118
O1000488,639,South,4
O1000489,161,South,51
O1000490,642,East,154
O1000491,685,South,219
O1000492,534,West,130
O1000493,185,North,42
O1000494,568,West,57
O1000495,668,West,10
O1000496,303,North,14
O1000497,503,North,15
O1000498,338,North,46
O1000499,628,North,48
O1000500,345,East,15
O1000501,302,North,13
O1000502,396,West,84
O1000503,206,West,17
O1000504,376,North,53
O1000505,483,South,14
O1000506,623,North,43
O1000507,457,East,58
O1000508,197,South,225
O1000509,793,West,7
O1000510,827,West,73
O1000511,427,South,80
O1000512,277,West,15
O1000513,309,West,31
O1000514,364,North,74
O1000515,464,South,75
O1000516,346,South,42
O1000517,263,South,72
O1000518,673,East,47
O1000519,459,South,7
O1000520,238,South,90
O1000521,467,North,18
O1000522,437,South,218
O1000523,282,North,98
O1000524,733,West,85
O1000525,432,East,95
O1000526,362,South,29
O1000527,387,North,4
O1000528,504,North,30
O1000529,389,North,24
O1000530,388,South,15
O1000531,687,East,25
O1000532,199,North,65
O1000533,216,East,4
O1000534,595,South,22
O1000535,1350,East,21
O1000536,625,West,14
O1000537,1025,West,137
O1000538,325,East,116
O1000539,293,East,64
O1000540,507,East,99
O1000541,650,East,74
O1000542,209,North,4
O1000543,363,West,101
O1000544,398,East,37
O1000545,287,South,42
O1000546,305,South,231
O1000547,615,North,183
O1000548,510,South,20
O1000549,601,East,28
O1000550,477,North,2
O1000551,261,West,33
O1000552,498,North,21
O1000553,251,West,3
O1000554,345,South,23
O1000555,240,West,54
O1000556,297,South,30
O1000557,422,South,16
O1000558,321,East,5
O1000559,259,South,98
O1000560,713,West,15
O1000561,380,East,116
O1000562,310,South,28
O1000563,235,North,159
O1000564,158,South,290
O1000565,361,South,49
O1000566,203,West,46
O1000567,576,East,27
O1000568,409,North,137
O1000569,879,North,21
O1000570,451,South,54
O1000571,281,North,59
O1000572,158,East,174
O1000573,604,North,33
O1000574,211,South,18
O1000575,329,West,27
O1000576,932,West,72
O1000577,548,West,16
O1000578,490,East,41
O1000579,647,West,3
O1000580,635,West,56
O1000581,889,North,41
O1000582,299,North,38
O1000583,334,West,15
O1000584,254,North,74
O1000585,397,South,140
O1000586,378,North,22
O1000587,168,West,262
O1000588,291,North,7
O1000589,828,South,20
O1000590,456,North,20
O1000591,577,North,69
O1000592,380,North,6
O1000593,157,East,53
O1000594,378,North,160
O1000595,679,West,155
O1000596,223,East,282
O1000597,586,North,109
O1000598,172,South,18
O1000599,408,West,11
O1000600,530,West,4
O1000601,345,East,24
O1000602,1389,East,174
O1000603,315,West,50
O1000604,302,South,25
O1000605,447,East,2
O1000606,277,South,51
O1000607,196,East,202
O1000608,233,West,322
O1000609,589,East,48
O1000610,346,North,105
O1000611,945,West,8
O1000612,324,North,284
O1000613,576,East,46
O1000614,521,North,29
O1000615,321,East,28
O1000616,260,North,100
O1000617,170,North,163
O1000618,532,North,215
O1000619,734,East,55
O1000620,182,North,46
O1000621,335,West,21
O1000622,289,South,71
O1000623,531,East,9
O1000624,342,West,283
O1000625,782,West,130
O1000626,333,South,58
O1000627,217,East,34
O1000628,319,South,115
O1000629,337,North,57
O1000630,525,East,139
O1000631,335,South,27
O1000632,503,South,115
O1000633,272,North,2
O1000634,348,East,12
O1000635,272,West,93
O1000636,264,South,90
O1000637,763,South,36
O1000638,282,West,11
O1000639,339,North,3
O1000640,680,South,24
O1000641,587,North,61
O1000642,917,South,30
O1000643,514,East,119
O1000644,299,West,7
O1000645,1128,West,15
O1000646,540,East,79
O1000647,373,East,66
O1000648,415,East,36
O1000649,441,South,158
O1000650,358,North,3
O1000651,203,North,6
O1000652,910,West,2
O1000653,399,North,57
O1000654,442,South,7
O1000655,1140,South,112
O1000656,287,North,49
O1000657,560,West,11
O1000658,271,North,66
O1000659,474,West,74
O1000660,446,East,166
O1000661,599,West,10
O1000662,738,North,19
O1000663,302,South,5
O1000664,819,West,76
O1000665,849,East,232
O1000666,356,South,13
O1000667,402,East,136
O1000668,315,North,92
O1000669,346,East,10
O1000670,221,North,66
O1000671,595,North,8
O1000672,145,South,29
O1000673,285,North,87
O1000674,394,North,166
O1000675,773,North,76
O1000676,307,East,15
O1000677,500,North,92
O1000678,387,North,52
O1000679,647,East,34
O1000680,487,South,15
O1000681,611,South,80
O1000682,306,South,34
O1000683,243,West,20
O1000684,485,North,9
O1000685,316,West,60
O1000686,410,North,55
O1000687,473,South,226
O1000688,751,West,75
O1000689,598,East,45
O1000690,287,North,26
O1000691,228,West,75
O1000692,947,West,23
O1000693,183,South,19
O1000694,322,South,98
O1000695,557,South,20
O1000696,915,East,9
O1000697,367,North,12
O1000698,409,East,48
O1000699,260,North,97
O1000700,430,South,16
O1000701,227,South,55
O1000702,277,North,2
O1000703,591,West,36
O1000704,325,South,8
O1000705,638,North,240
O1000706,374,North,33
O1000707,203,East,12
O1000708,724,West,85
O1000709,209,North,13
O1000710,299,South,2
O1000711,365,East,29
O1000712,667,West,57
O1000713,310,North,21
O1000714,254,South,33
O1000715,438,North,21
O1000716,362,South,130
O1000717,319,South,17
O1000718,450,South,8
O1000719,221,East,28
O1000720,171,West,24
O1000721,1175,North,54
O1000722,425,East,81
O1000723,440,West,111
O1000724,273,South,62
O1000725,632,East,279
O1000726,309,South,54
O1000727,100,North,2
O1000728,304,North,10
O1000729,350,North,26
O1000730,371,West,24
O1000731,365,West,22
O1000732,292,South,65
O1000733,278,East,20
O1000734,348,South,25
O1000735,177,South,145
O1000736,152,East,172
O1000737,424,West,2
O1000738,427,South,38
O1000739,626,East,30
O1000740,355,North,41
O1000741,222,South,191
O1000742,153,North,76
O1000743,259,West,189
O1000744,498,North,26
O1000745,829,East,10
O1000746,414,East,64
O1000747,220,East,50
O1000748,260,West,115
O1000749,264,South,124
O1000750,329,North,31
O1000751,707,West,113
O1000752,735,South,23
O1000753,370,North,14
O1000754,442,South,37
O1000755,271,South,108
O1000756,172,West,38
O1000757,987,South,38
O1000758,126,North,3
O1000759,161,North,7
O1000760,990,North,37
O1000761,407,East,40
O1000762,230,North,6
O1000763,568,South,5
O1000764,594,East,56
O1000765,207,East,47
O1000766,309,East,79
O1000767,625,South,75
O1000768,268,North,20
O1000769,465,East,66
O1000770,823,West,51
O1000771,122,North,2
O1000772,340,South,33
O1000773,460,North,71
O1000774,165,North,145
O1000775,310,North,8
O1000776,680,North,15
O1000777,284,East,86
O1000778,192,East,6
O1000779,710,South,2
O1000780,504,South,24
O1000781,390,West,23
O1000782,384,East,39
O1000783,675,West,17
O1000784,467,South,2
O1000785,557,East,147
O1000786,285,North,227
O1000787,155,East,297
O1000788,551,East,210
O1000789,700,North,102
O1000790,361,West,52
O1000791,629,South,45
O1000792,341,South,4
O1000793,386,North,128
O1000794,969,North,16
O1000795,349,North,81
O1000796,339,South,72
O1000797,158,South,84
O1000798,570,South,8
O1000799,283,West,35
O1000800,434,North,74
O1000801,345,North,2
O1000802,323,West,32
O1000803,380,North,23
O1000804,395,North,99
O1000805,726,South,44
O1000806,863,West,50
O1000807,559,South,5
O1000808,762,South,11
O1000809,618,West,83
O1000810,517,South,41
O1000811,835,West,11
O1000812,210,North,2
O1000813,287,South,27
O1000814,268,West,24
O1000815,347,North,29
O1000816,568,North,2
O1000817,231,South,150
O1000818,519,West,31
O1000819,301,North,80
O1000820,339,West,13
O1000821,446,East,2
O1000822,935,South,79
O1000823,283,North,139
O1000824,388,South,50
O1000825,235,South,11
O1000826,281,East,72
O1000827,234,South,172
O1000828,456,West,203
O1000829,499,North,44
O1000830,569,West,113
O1000831,277,South,85
O1000832,520,South,27
O1000833,427,West,31
O1000834,392,East,32
O1000835,217,West,3
O1000836,436,West,63
O1000837,443,East,49
O1000838,424,South,85
O1000839,493,North,24
O1000840,571,North,3
O1000841,233,North,48
O1000842,362,East,103
O1000843,522,East,109
O1000844,353,East,96
O1000845,652,West,49
O1000846,422,West,79
O1000847,152,North,8
O1000848,614,West,13
O1000849,380,East,215
O1000850,167,West,32
O1000851,356,West,31
O1000852,214,South,5
O1000853,588,East,36
O1000854,396,West,65
O1000855,254,North,81
O1000856,605,South,28
O1000857,507,North,187
O1000858,359,North,37
O1000859,216,East,40
O1000860,265,South,65
O1000861,263,South,8
O1000862,586,North,66
O1000863,174,North,27
O1000864,394,North,2
O1000865,356,West,91
O1000866,677,West,168
O1000867,453,West,51
O1000868,527,North,27
O1000869,310,West,72
O1000870,218,East,141
O1000871,343,West,23
O1000872,595,South,49
O1000873,594,South,17
O1000874,325,South,62
O1000875,262,South,94
O1000876,238,South,14
O1000877,377,North,49
O1000878,432,East,12
O1000879,843,West,39
O1000880,429,East,68
O1000881,548,West,2
O1000882,273,South,81
O1000883,412,South,26
O1000884,433,West,50
O1000885,376,West,37
O1000886,399,East,91
O1000887,430,South,81
O1000888,513,South,2
O1000889,724,East,9
O1000890,130,North,16
O1000891,704,West,43
O1000892,172,East,22
O1000893,471,North,8
O1000894,1310,South,5
O1000895,395,North,29
O1000896,441,North,30
O1000897,345,East,67
O1000898,563,North,9
O1000899,484,South,29
O1000900,288,East,23
O1000901,381,North,39
O1000902,231,West,102
O1000903,380,North,25
O1000904,327,East,303
O1000905,432,West,176
O1000906,283,North,15
O1000907,362,North,43
O1000908,405,North,146
O1000909,420,South,75
O1000910,463,East,124
O1000911,370,South,96
O1000912,272,North,58
O1000913,420,East,64
O1000914,369,South,18
O1000915,673,South,12
O1000916,717,South,51
O1000917,203,South,5
O1000918,549,South,18
O1000919,607,South,56
O1000920,206,South,6
O1000921,539,South,59
O1000922,631,North,46
O1000923,251,North,9
O1000924,358,North,41
O1000925,443,West,75
O1000926,537,North,50
O1000927,246,South,130
O1000928,719,West,178
O1000929,146,North,27
O1000930,782,East,18
O1000931,531,West,31
O1000932,296,North,37
O1000933,622,West,12
O1000934,239,East,81
O1000935,427,West,148
O1000936,455,North,39
O1000937,454,North,3
O1000938,265,North,249
O1000939,315,West,25
O1000940,430,West,15
O1000941,281,South,29
O1000942,462,South,37
O1000943,297,North,21
O1000944,665,North,34
O1000945,881,North,158
O1000946,348,East,59
O1000947,639,East,23
O1000948,363,South,2
O1000949,253,West,57
O1000950,326,North,31
O1000951,421,North,38
O1000952,165,West,124
O1000953,552,South,36
O1000954,421,East,9
O1000955,665,South,47
O1000956,547,South,73
O1000957,428,North,21
O1000958,338,South,17
O1000959,864,North,28
O1000960,1194,South,30
O1000961,341,North,12
O1000962,679,North,60
O1000963,283,West,89
O1000964,301,West,58
O1000965,333,North,42
O1000966,568,West,51
O1000967,236,West,43
O1000968,876,South,37
O1000969,645,South,2
O1000970,562,South,47
O1000971,348,East,5
O1000972,611,North,47
O1000973,94,North,41
O1000974,503,West,116
O1000975,437,West,32
O1000976,157,South,183
O1000977,494,North,37
O1000978,542,West,178
O1000979,160,North,10
O1000980,223,North,125
O1000981,1133,North,91
O1000982,368,East,17
O1000983,657,West,334
O1000984,709,South,18
O1000985,491,South,41
O1000986,671,North,77
O1000987,140,South,2
O1000988,360,North,26
O1000989,86,North,51
O1000990,169,North,54
O1000991,307,West,86
O1000992,289,East,47
O1000993,412,South,276
O1000994,399,West,63
O1000995,431,North,63
O1000996,440,West,35
O1000997,476,North,37
O1000998,250,East,41
O1000999,281,South,193
O1001000,396,North,52
O1001001,399,East,3
O1001002,235,East,65
O1001003,693,West,11
O1001004,580,North,33
O1001005,262,East,6
O1001006,364,West,10
O1001007,1102,South,85
O1001008,437,South,27
O1001009,492,South,3
O1001010,298,West,77
O1001011,345,East,2
O1001012,859,West,99
O1001013,427,South,49
O1001014,389,West,116
O1001015,405,South,20
O1001016,1440,North,11
O1001017,412,South,4
O1001018,266,West,72
O1001019,291,North,144
O1001020,596,North,72
O1001021,198,West,57
O1001022,505,North,2
O1001023,281,South,27
O1001024,159,South,172
O1001025,247,North,47
O1001026,409,South,18
O1001027,810,West,8
O1001028,637,South,30
O1001029,348,East,9
O1001030,656,North,190
O1001031,338,North,110
O1001032,194,West,39
O1001033,408,North,279
O1001034,190,East,10
O1001035,599,East,11
O1001036,604,South,10
O1001037,260,South,9
O1001038,434,South,41
O1001039,432,North,89
O1001040,624,North,62
O1001041,216,North,33
O1001042,544,East,2
O1001043,209,East,25
O1001044,595,East,19
O1001045,686,East,16
O1001046,289,West,30
O1001047,742,East,70
O1001048,184,South,82
O1001049,699,North,13
O1001050,828,South,57
O1001051,480,South,23
O1001052,366,North,16
O1001053,472,North,356
O1001054,298,East,4
O1001055,1499,North,115
O1001056,301,East,31
O1001057,780,North,171
O1001058,278,South,13
O1001059,896,North,330
O1001060,1103,West,84
O1001061,489,South,50
O1001062,466,West,85
O1001063,250,East,80
O1001064,236,North,25
O1001065,468,West,162
O1001066,836,East,166
O1001067,307,North,19
O1001068,1217,North,18
O1001069,297,South,117
O1001070,452,East,22
O1001071,453,West,150
O1001072,383,North,65
O1001073,145,North,201
O1001074,296,East,102
O1001075,446,South,110
O1001076,385,North,5
O1001077,555,East,41
O1001078,589,North,31
O1001079,358,South,91
O1001080,249,East,23
O1001081,875,South,68
O1001082,205,North,71
O1001083,300,South,22
O1001084,264,South,50
O1001085,586,North,73
O1001086,779,South,61
O1001087,370,South,24
O1001088,453,West,19
O1001089,500,North,22
O1001090,994,East,3
O1001091,166,East,61
O1001092,585,East,77
O1001093,487,South,3
O1001094,335,North,217
O1001095,475,East,93
O1001096,584,South,75
O1001097,540,West,108
O1001098,1187,West,131
O1001099,430,North,21
O1001100,409,West,40
O1001101,368,South,61
O1001102,532,West,129
O1001103,397,North,76
O1001104,406,East,63
O1001105,407,South,47
O1001106,377,North,23
O1001107,298,North,75
O1001108,497,North,36
O1001109,350,North,7
O1001110,548,South,98
O1001111,426,South,67
O1001112,333,West,41
O1001113,882,East,130
O1001114,383,East,78
O1001115,551,South,53
O1001116,284,North,86
O1001117,147,East,119
O1001118,304,South,53
O1001119,139,West,125
O1001120,358,South,67
O1001121,841,West,50
O1001122,257,North,36
O1001123,141,South,10
O1001124,854,North,2
O1001125,318,East,15
O1001126,400,East,13
O1001127,598,South,15
O1001128,524,East,26
O1001129,587,South,37
O1001130,633,West,107
O1001131,169,West,28
O1001132,199,East,16
O1001133,725,South,269
O1001134,273,West,370
O1001135,288,West,86
O1001136,215,South,27
O1001137,329,East,31
O1001138,339,West,12
O1001139,252,East,18
O1001140,238,North,67
O1001141,473,South,53
O1001142,269,East,37
O1001143,298,South,58
O1001144,135,East,40
O1001145,1063,North,188
O1001146,646,North,116
O1001147,315,North,86
O1001148,257,North,6
O1001149,406,South,38
O1001150,400,North,57
O1001151,213,North,6
O1001152,113,South,145
O1001153,310,East,15
O1001154,185,South,2
O1001155,440,South,32
O1001156,441,North,8
O1001157,248,North,78
O1001158,309,North,112
O1001159,974,West,34
O1001160,594,West,217
O1001161,322,South,43
O1001162,1269,South,45
O1001163,222,West,91
O1001164,269,North,11
O1001165,382,North,13
O1001166,188,North,106
O1001167,987,West,3
O1001168,442,North,18
O1001169,272,North,55
O1001170,505,West,59
O1001171,434,East,65
O1001172,346,South,154
O1001173,220,West,8
O1001174,197,South,30
O1001175,1204,South,15
O1001176,205,South,102
O1001177,943,East,13
O1001178,264,South,71
O1001179,599,East,344
O1001180,509,East,31
O1001181,563,North,38
O1001182,582,South,33
O1001183,180,East,47
O1001184,288,West,36
O1001185,204,West,79
O1001186,443,North,2
O1001187,208,South,38
O1001188,150,South,51
O1001189,358,South,2
O1001190,134,South,7
O1001191,459,West,28
O1001192,215,North,25
O1001193,265,West,152
O1001194,129,South,2
O1001195,921,South,102
O1001196,194,East,3
O1001197,336,South,110
O1001198,165,West,34
O1001199,266,West,62
O1001200,969,North,12
O1001201,468,East,96
O1001202,281,South,40
O1001203,397,South,3
O1001204,305,South,96
O1001205,385,North,81
O1001206,585,South,87
O1001207,342,South,38
O1001208,450,East,2
O1001209,454,North,125
O1001210,343,East,60
O1001211,279,South,132
O1001212,310,North,15
O1001213,572,East,71
O1001214,597,East,176
O1001215,228,West,336
O1001216,354,North,23
O1001217,277,West,64
O1001218,602,South,32
O1001219,319,South,206
O1001220,1213,West,27
O1001221,450,North,25
O1001222,729,South,2
O1001223,243,North,26
O1001224,406,East,22
O1001225,549,North,8
O1001226,241,West,2
O1001227,408,North,2
O1001228,683,West,29
O1001229,343,East,28
O1001230,264,West,21
O1001231,994,South,37
O1001232,225,North,154
O1001233,436,North,21
O1001234,283,South,90
O1001235,253,North,2
O1001236,585,West,160
O1001237,364,North,23
O1001238,494,North,26
O1001239,131,North,35
O1001240,519,North,20
O1001241,281,West,137
O1001242,158,North,3
O1001243,1035,East,4
O1001244,545,South,29
O1001245,452,East,11
O1001246,753,South,84
O1001247,457,East,16
O1001248,271,East,20
O1001249,370,South,18
O1001250,287,North,138
O1001251,314,South,104
O1001252,215,West,47
O1001253,248,East,2
O1001254,631,South,24
O1001255,476,West,39
O1001256,314,South,44
O1001257,241,North,17
O1001258,329,West,60
O1001259,174,South,13
O1001260,430,South,39
O1001261,647,North,29
O1001262,1317,East,26
O1001263,232,South,28
